month,temperature,city,year
Jan,22.2,Vancouver,2023
Feb,-3.2,Vancouver,2023
Mar,4.0,Vancouver,2023
Apr,-6.7,Vancouver,2023
May,5.2,Vancouver,2023
Jun,-1.7,Vancouver,2023
Jul,-2.8,Vancouver,2023
Aug,2.5,Vancouver,2023
Sep,23.8,Vancouver,2023
Oct,-14.4,Vancouver,2023
Nov,6.3,Vancouver,2023
Dec,2.0,Vancouver,2023
Jan,5.6,Toronto,2023
Feb,-13.5,Toronto,2023
Mar,12.0,Toronto,2023
Apr,0.4,Toronto,2023
May,14.4,Toronto,2023
Jun,22.0,Toronto,2023
Jul,8.6,Toronto,2023
Aug,0.1,Toronto,2023
Sep,25.0,Toronto,2023
Oct,-3.4,Toronto,2023
Nov,-0.8,Toronto,2023
Dec,16.1,Toronto,2023
Jan,-14.7,Montreal,2023
Feb,-5.4,Montreal,2023
Mar,21.7,Montreal,2023
Apr,-12.7,Montreal,2023
May,3.1,Montreal,2023
Jun,21.9,Montreal,2023
Jul,-3.6,Montreal,2023
Aug,16.5,Montreal,2023
Sep,0.5,Montreal,2023
Oct,8.8,Montreal,2023
Nov,24.2,Montreal,2023
Dec,3.9,Montreal,2023
Jan,18.7,Winnipeg,2023
Feb,-7.6,Winnipeg,2023
Mar,6.0,Winnipeg,2023
Apr,-14.2,Winnipeg,2023
May,19.1,Winnipeg,2023
Jun,-6.8,Winnipeg,2023
Jul,7.4,Winnipeg,2023
Aug,-4.0,Winnipeg,2023
Sep,8.3,Winnipeg,2023
Oct,-10.3,Winnipeg,2023
Nov,19.7,Winnipeg,2023
Dec,20.4,Winnipeg,2023
Jan,-1.0,Calgary,2023
Feb,15.2,Calgary,2023
Mar,-1.2,Calgary,2023
Apr,4.1,Calgary,2023
May,9.8,Calgary,2023
Jun,3.2,Calgary,2023
Jul,-4.4,Calgary,2023
Aug,-2.1,Calgary,2023
Sep,-8.9,Calgary,2023
Oct,24.3,Calgary,2023
Nov,-11.7,Calgary,2023
Dec,8.3,Calgary,2023
Jan,19.4,Edmonton,2023
Feb,-8.5,Edmonton,2023
Mar,19.5,Edmonton,2023
Apr,20.8,Edmonton,2023
May,-8.1,Edmonton,2023
Jun,7.5,Edmonton,2023
Jul,24.1,Edmonton,2023
Aug,3.5,Edmonton,2023
Sep,4.3,Edmonton,2023
Oct,14.5,Edmonton,2023
Nov,11.5,Edmonton,2023
Dec,-8.4,Edmonton,2023
Jan,-1.3,Vancouver,2024
Feb,14.2,Vancouver,2024
Mar,22.6,Vancouver,2024
Apr,24.0,Vancouver,2024
May,6.0,Vancouver,2024
Jun,11.0,Vancouver,2024
Jul,15.0,Vancouver,2024
Aug,24.1,Vancouver,2024
Sep,12.5,Vancouver,2024
Oct,5.1,Vancouver,2024
Nov,5.7,Vancouver,2024
Dec,18.2,Vancouver,2024
Jan,-10.7,Toronto,2024
Feb,-3.0,Toronto,2024
Mar,-5.1,Toronto,2024
Apr,-9.9,Toronto,2024
May,-3.5,Toronto,2024
Jun,13.8,Toronto,2024
Jul,1.1,Toronto,2024
Aug,4.0,Toronto,2024
Sep,2.1,Toronto,2024
Oct,8.5,Toronto,2024
Nov,-5.1,Toronto,2024
Dec,16.0,Toronto,2024
Jan,5.9,Montreal,2024
Feb,-12.1,Montreal,2024
Mar,18.7,Montreal,2024
Apr,7.2,Montreal,2024
May,-3.8,Montreal,2024
Jun,22.8,Montreal,2024
Jul,17.6,Montreal,2024
Aug,-4.4,Montreal,2024
Sep,-14.5,Montreal,2024
Oct,23.8,Montreal,2024
Nov,-1.6,Montreal,2024
Dec,5.7,Montreal,2024
Jan,25.0,Winnipeg,2024
Feb,18.3,Winnipeg,2024
Mar,23.3,Winnipeg,2024
Apr,-9.7,Winnipeg,2024
May,-14.1,Winnipeg,2024
Jun,19.5,Winnipeg,2024
Jul,14.5,Winnipeg,2024
Aug,13.4,Winnipeg,2024
Sep,21.3,Winnipeg,2024
Oct,10.0,Winnipeg,2024
Nov,21.7,Winnipeg,2024
Dec,16.4,Winnipeg,2024
Jan,21.9,Calgary,2024
Feb,11.9,Calgary,2024
Mar,20.0,Calgary,2024
Apr,2.2,Calgary,2024
May,2.2,Calgary,2024
Jun,18.7,Calgary,2024
Jul,-11.7,Calgary,2024
Aug,-2.5,Calgary,2024
Sep,18.2,Calgary,2024
Oct,12.9,Calgary,2024
Nov,-14.7,Calgary,2024
Dec,15.7,Calgary,2024
Jan,3.2,Edmonton,2024
Feb,-11.8,Edmonton,2024
Mar,12.3,Edmonton,2024
Apr,16.4,Edmonton,2024
May,-6.9,Edmonton,2024
Jun,-2.1,Edmonton,2024
Jul,-12.2,Edmonton,2024
Aug,16.8,Edmonton,2024
Sep,-4.2,Edmonton,2024
Oct,-5.0,Edmonton,2024
Nov,2.6,Edmonton,2024
Dec,20.1,Edmonton,2024
